date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:50	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62b46697-6cfecb0e4ebe319b;gz%22	https://wp.hixstudio.net/robots.txt		(from )
20:26:52	209276/209276	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202023%2020:19:40%20GMT	https://wp.hixstudio.net/harry/home-portfolio/	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/home-portfolio/index.html	(from )
20:26:54	104484/104484	---M-Z	200	added ('OK')	text/css	etag:%2219824-65316382-3b425ddf920925f7;gz%22	https://wp.hixstudio.net/harry/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/wp-includes/css/dist/block-library/style.mine35d.css	(from https://wp.hixstudio.net/harry/home-portfolio/)
20:27:00	15563/15563	---M-Z	200	added ('OK')	text/css	etag:%223ccb-6531637a-dec3e086c86c1386;gz%22	https://wp.hixstudio.net/harry/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/swiper.css?ver=7.4.1	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/swiper9c05.css	(from https://wp.hixstudio.net/harry/home-portfolio/)
20:27:01	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-6531637a-25c1440963b76deb;gz%22	https://wp.hixstudio.net/harry/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/magnific-popup.css?ver=2.1.9	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/magnific-popup6c17.css	(from https://wp.hixstudio.net/harry/home-portfolio/)
20:27:03	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-65316382-92f8238e7548bf55;gz%22	https://wp.hixstudio.net/harry/wp-includes/css/dashicons.min.css?ver=6.3.2	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/wp-includes/css/dashicons.mine35d.css	(from https://wp.hixstudio.net/harry/home-portfolio/)
20:27:07	41964/41964	---M-Z	200	added ('OK')	text/css	etag:%22a3ec-6531637e-6037add36d677686;gz%22	https://wp.hixstudio.net/harry/wp-content/plugins/yith-woocommerce-ajax-navigation/assets/css/shortcodes.css?ver=4.27.0	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/wp-content/plugins/yith-woocommerce-ajax-navigation/assets/css/shortcodesef2c.css	(from https://wp.hixstudio.net/harry/home-portfolio/)
20:27:07	32935/32935	---M-Z	200	added ('OK')	text/css	etag:%2280a7-6531637a-c0fccc1b615bc621;gz%22	https://wp.hixstudio.net/harry/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/frontend/index.css?ver=88334af8e7b2e2d861de8f44ef434a93	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/frontend/index874b.css	(from https://wp.hixstudio.net/harry/home-portfolio/)
20:27:09	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-65316376-c0256aa3b216b83f;gz%22	https://wp.hixstudio.net/harry/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.1	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/wp-content/plugins/contact-form-7/includes/css/stylesf658.css	(from https://wp.hixstudio.net/harry/home-portfolio/)
20:27:10	53/53	---M--	200	added ('OK')	text/css	etag:%2235-6531637b-9ac1b2c1c8cb4a37;;;%22	https://wp.hixstudio.net/harry/wp-content/plugins/tp-core/include/elementor/templates/css/template-frontend.min.css?ver=3.1.3	C:/My%20Web%20Sites/ramin/wp.hixstudio.net/harry/wp-content/plugins/tp-core/include/elementor/templates/css/template-frontend.min583f.css	(from https://wp.hixstudio.net/harry/home-portfolio/)
